quote_id,partner_id,claim_id,vehicle_id,yard_id,quote_date,quoted_tow_price,quoted_daily_storage_rate,free_storage_days,expected_days_in_yard,expected_billable_storage_days,estimated_total_cost_to_partner,estimated_salvage_value,net_expected_recovery,competitor_estimated_total_cost,price_gap_vs_competitor,partner_price_sensitivity_score,yard_capacity_utilization,predicted_acceptance_probability,accepted_flag,lost_reason,expected_margin,recommended_tow_price,recommended_daily_storage_rate,pricing_strategy
QTE000001,P008,CLM007235,VEH007235,YARD_HOU_01,2025-03-12,332,26,0,5,5,462,500,38,458,4,55,0.80,0.66,1,accepted,186,342,27,partner_retention
QTE000002,P023,CLM005183,VEH005183,YARD_OKC_01,2025-06-28,300,32,7,12,5,460,7895,7435,460,0,61,0.84,0.75,1,accepted,161,309,33,acceptance_max
QTE000003,P019,CLM009770,VEH009770,YARD_AUS_01,2025-03-24,264,18,7,97,90,1884,500,-1384,2275,-391,78,0.80,0.53,1,accepted,845,243,16,balanced
QTE000004,P029,CLM001129,VEH001129,YARD_DAL_01,2025-01-09,447,31,3,90,87,3144,500,-2644,3744,-600,36,0.69,0.81,1,accepted,1469,460,32,balanced
QTE000005,P014,CLM005088,VEH005088,YARD_DAL_01,2025-03-29,258,18,0,38,38,942,500,-442,743,199,65,0.75,0.58,1,accepted,385,266,19,balanced
QTE000006,P014,CLM007228,VEH007228,YARD_DAL_01,2025-01-16,338,18,0,63,63,1472,500,-972,1511,-39,65,0.80,0.65,1,accepted,467,348,19,margin_max
QTE000007,P005,CLM007397,VEH007397,YARD_DAL_01,2025-07-23,359,31,3,57,54,2033,6583,4550,2185,-152,32,0.84,0.93,1,accepted,1240,370,32,balanced
QTE000008,P018,CLM003196,VEH003196,YARD_HOU_01,2025-06-22,311,19,0,51,51,1280,500,-780,1513,-233,58,0.96,0.66,0,storage_fee_too_high,399,320,20,balanced
QTE000009,P003,CLM004660,VEH004660,YARD_HOU_01,2025-06-27,427,28,7,49,42,1603,827,-776,1481,122,67,0.63,0.52,1,accepted,676,440,29,balanced
QTE000010,P014,CLM003823,VEH003823,YARD_DAL_01,2025-04-17,307,18,0,52,52,1243,500,-743,1004,239,65,0.91,0.56,0,price_too_high,434,316,19,partner_retention
QTE000011,P023,CLM007208,VEH007208,YARD_OKC_01,2025-05-23,332,25,7,31,24,932,7481,6549,870,62,61,0.85,0.72,1,accepted,331,342,26,balanced
