retrieval_id,vehicle_id,yard_id,request_time,retrieval_start_time,retrieval_end_time,handoff_time,requested_by,pickup_type,retrieval_duration_minutes,wait_time_minutes,start_delay_minutes,travel_distance_meters,blocked_vehicle_count,equipment_used,staff_id,retrieval_success_flag,delay_flag,delay_reason,weather_condition,time_of_day,day_of_week
RET000001,VEH005546,YARD_DAL_01,2025-03-22 12:52:00,2025-03-22 13:19:00,2025-03-22 14:09:19,2025-03-22 14:14:19,carrier,internal_move,50.3,82.3,27,932,4,forklift,STF019,1,1,blocked_access,storm,afternoon,Saturday
RET000002,VEH004383,YARD_OKC_01,2025-09-02 10:34:00,2025-09-02 10:45:00,2025-09-02 11:32:30,2025-09-02 11:39:30,buyer,customer_pickup,47.5,65.5,11,571,4,none,STF030,0,1,equipment_unavailable,extreme_heat,afternoon,Tuesday
RET000003,VEH000148,YARD_DAL_01,2025-08-06 14:30:00,2025-08-06 14:50:00,2025-08-06 15:27:47,2025-08-06 15:32:47,buyer,carrier_pickup,37.8,62.8,20,718,1,none,STF068,1,1,weather,clear,afternoon,Wednesday
RET000004,VEH008894,YARD_OKC_01,2025-05-09 11:13:00,2025-05-09 11:43:00,2025-05-09 12:43:16,2025-05-09 12:52:16,carrier,carrier_pickup,60.3,99.3,30,1110,8,forklift,STF015,1,1,vehicle_not_found,extreme_heat,midday,Friday
RET000005,VEH001520,YARD_OKC_01,2025-04-12 08:41:00,2025-04-12 09:02:00,2025-04-12 09:50:45,2025-04-12 09:58:45,buyer,customer_pickup,48.8,77.8,21,779,7,none,STF069,1,1,congestion,clear,morning,Saturday
RET000006,VEH009657,YARD_AUS_01,2025-06-20 15:35:00,2025-06-20 15:47:00,2025-06-20 16:21:05,2025-06-20 16:26:05,buyer,carrier_pickup,34.1,51.1,12,674,3,none,STF048,1,1,congestion,clear,afternoon,Friday
RET000007,VEH007808,YARD_DAL_01,2025-08-18 14:47:00,2025-08-18 15:16:00,2025-08-18 16:17:51,2025-08-18 16:31:51,carrier,auction_staging,61.9,104.9,29,642,9,forklift,STF034,1,1,vehicle_not_found,clear,afternoon,Monday
RET000008,VEH004502,YARD_OKC_01,2025-06-29 09:47:00,2025-06-29 10:05:00,2025-06-29 11:02:23,2025-06-29 11:12:23,internal_ops,carrier_pickup,57.4,85.4,18,422,6,none,STF035,1,1,title_issue,clear,midday,Sunday
RET000009,VEH003869,YARD_DAL_01,2025-03-08 14:10:00,2025-03-08 14:20:00,2025-03-08 15:00:12,2025-03-08 15:15:12,buyer,carrier_pickup,40.2,65.2,10,850,5,none,STF026,1,1,blocked_access,clear,midday,Saturday
RET000010,VEH001861,YARD_AUS_01,2025-08-05 12:51:00,2025-08-05 13:04:00,2025-08-05 13:38:20,2025-08-05 13:44:20,insurance_partner,carrier_pickup,34.3,53.3,13,596,2,none,STF010,1,1,title_issue,clear,afternoon,Tuesday
RET000011,VEH002414,YARD_HOU_01,2025-05-18 08:06:00,2025-05-18 08:30:00,2025-05-18 09:13:39,2025-05-18 09:24:39,carrier,carrier_pickup,43.7,78.7,24,956,1,none,STF048,1,1,title_issue,clear,midday,Sunday
RET000012,VEH009751,YARD_AUS_01,2025-06-26 10:33:00,2025-06-26 10:55:00,2025-06-26 11:33:45,2025-06-26 11:45:45,buyer,customer_pickup,38.8,72.8,22,713,2,forklift,STF013,1,1,blocked_access,storm,afternoon,Thursday
RET000013,VEH008811,YARD_DAL_01,2025-05-11 12:09:00,2025-05-11 12:28:00,2025-05-11 12:55:42,2025-05-11 13:01:42,carrier,customer_pickup,27.7,52.7,19,542,2,none,STF018,1,1,blocked_access,clear,morning,Sunday
RET000014,VEH009286,YARD_AUS_01,2025-02-01 16:54:00,2025-02-01 17:05:00,2025-02-01 17:49:16,2025-02-01 17:58:16,buyer,customer_pickup,44.3,64.3,11,332,3,none,STF037,1,1,congestion,clear,afternoon,Saturday
RET000015,VEH005547,YARD_AUS_01,2025-05-23 12:25:00,2025-05-23 12:56:00,2025-05-23 13:46:07,2025-05-23 13:51:07,carrier,customer_pickup,50.1,86.1,31,669,4,none,STF032,1,1,title_issue,extreme_heat,afternoon,Friday
RET000016,VEH007285,YARD_AUS_01,2025-02-04 14:56:00,2025-02-04 15:12:00,2025-02-04 15:48:06,2025-02-04 15:59:06,carrier,internal_move,36.1,63.1,16,374,2,none,STF047,1,1,equipment_unavailable,clear,morning,Tuesday
RET000017,VEH005378,YARD_DAL_01,2025-02-09 14:17:00,2025-02-09 14:36:00,2025-02-09 14:56:43,2025-02-09 15:14:43,carrier,carrier_pickup,20.7,57.7,19,504,2,none,STF047,1,1,blocked_access,clear,midday,Sunday
RET000018,VEH001056,YARD_OKC_01,2025-05-16 13:52:00,2025-05-16 14:20:00,2025-05-16 14:53:22,2025-05-16 15:02:22,buyer,carrier_pickup,33.4,70.4,28,613,2,none,STF031,1,1,vehicle_not_found,extreme_heat,midday,Friday
RET000019,VEH001799,YARD_DAL_01,2025-06-06 10:28:00,2025-06-06 11:08:00,2025-06-06 11:31:26,2025-06-06 11:35:26,internal_ops,carrier_pickup,23.4,67.4,40,463,4,none,STF063,1,1,weather,clear,midday,Friday
RET000020,VEH008200,YARD_HOU_01,2025-07-14 13:20:00,2025-07-14 13:46:00,2025-07-14 14:38:28,2025-07-14 14:48:28,buyer,customer_pickup,52.5,88.5,26,983,5,none,STF016,1,1,blocked_access,rain,afternoon,Monday
RET000021,VEH003948,YARD_HOU_01,2025-02-24 16:20:00,2025-02-24 16:37:00,2025-02-24 17:26:04,2025-02-24 17:34:04,buyer,carrier_pickup,49.1,74.1,17,460,5,none,STF012,1,1,congestion,clear,afternoon,Monday
RET000022,VEH004298,YARD_DAL_01,2025-09-21 08:22:00,2025-09-21 08:38:00,2025-09-21 09:07:54,2025-09-21 09:14:54,buyer,carrier_pickup,29.9,52.9,16,796,2,none,STF075,1,1,congestion,clear,afternoon,Sunday
RET000023,VEH005960,YARD_AUS_01,2025-09-07 16:02:00,2025-09-07 16:18:00,2025-09-07 17:03:25,2025-09-07 17:11:25,internal_ops,internal_move,45.4,69.4,16,745,2,none,STF038,1,1,vehicle_not_found,clear,morning,Sunday
RET000024,VEH003439,YARD_DAL_01,2025-08-26 13:25:00,2025-08-26 13:50:00,2025-08-26 14:18:14,2025-08-26 14:28:14,insurance_partner,customer_pickup,28.2,63.2,25,598,5,none,STF058,1,1,blocked_access,clear,midday,Tuesday
RET000025,VEH004597,YARD_OKC_01,2025-04-15 08:20:00,2025-04-15 08:31:00,2025-04-15 09:04:37,2025-04-15 09:13:37,buyer,carrier_pickup,33.6,53.6,11,248,3,none,STF014,1,1,blocked_access,clear,midday,Tuesday
RET000026,VEH007847,YARD_HOU_01,2025-03-04 08:07:00,2025-03-04 08:24:00,2025-03-04 08:42:50,2025-03-04 08:54:50,carrier,carrier_pickup,18.8,47.8,17,516,0,none,STF056,1,1,blocked_access,rain,morning,Tuesday
RET000027,VEH003616,YARD_OKC_01,2025-09-05 16:52:00,2025-09-05 17:07:00,2025-09-05 17:38:15,2025-09-05 17:45:15,buyer,carrier_pickup,31.3,53.3,15,766,0,tow_truck,STF044,1,1,congestion,clear,afternoon,Friday
RET000028,VEH001628,YARD_AUS_01,2025-04-06 13:46:00,2025-04-06 14:04:00,2025-04-06 14:48:07,2025-04-06 14:53:07,insurance_partner,carrier_pickup,44.1,67.1,18,804,7,none,STF014,1,1,blocked_access,clear,midday,Sunday
RET000029,VEH001124,YARD_AUS_01,2025-01-14 09:46:00,2025-01-14 10:20:00,2025-01-14 11:12:16,2025-01-14 11:19:16,carrier,carrier_pickup,52.3,93.3,34,548,4,none,STF008,1,1,congestion,clear,afternoon,Tuesday
