tow_event_id,claim_id,vehicle_id,partner_id,origin_zip,origin_city,origin_state,yard_id,tow_distance_miles,tow_request_time,tow_completed_time,tow_duration_hours,tow_type,base_tow_cost,fuel_surcharge,labor_cost,third_party_tow_cost,internal_total_tow_cost,quoted_tow_price,accepted_flag,competitor_estimated_price,gross_tow_margin,outsourced_flag
TOW000001,CLM002270,VEH002270,P013,77520,Baytown,TX,YARD_AUS_01,6.3,2025-02-08 20:00:00,2025-02-09 03:33:49,7.6,after_hours,95,6,46,0,147,168,1,182,21,0
TOW000002,CLM001340,VEH001340,P015,75149,Mesquite,TX,YARD_AUS_01,34.6,2025-04-02 22:00:00,2025-04-03 01:29:59,3.5,long_distance,182,26,97,0,305,350,1,235,45,0
TOW000003,CLM001604,VEH001604,P028,77002,Houston,TX,YARD_AUS_01,18.0,2025-02-26 07:00:00,2025-02-26 09:32:34,2.5,standard,131,19,67,0,218,298,0,265,80,0
TOW000004,CLM006290,VEH006290,P028,78701,Austin,TX,YARD_HOU_01,29.9,2025-02-09 17:00:00,2025-02-10 01:47:45,8.8,after_hours,168,27,89,0,283,343,0,399,60,0
TOW000005,CLM009756,VEH009756,P007,77520,Baytown,TX,YARD_OKC_01,7.7,2025-01-06 10:00:00,2025-01-06 17:59:47,8.0,long_distance,99,6,49,0,154,175,1,143,21,0
TOW000006,CLM009870,VEH009870,P037,76010,Arlington,TX,YARD_HOU_01,30.6,2025-07-11 12:00:00,2025-07-11 19:52:35,7.9,priority,170,35,90,0,295,384,0,318,89,0
TOW000007,CLM007798,VEH007798,P023,77002,Houston,TX,YARD_HOU_01,51.9,2025-04-24 15:00:00,2025-04-24 22:30:05,7.5,standard,236,52,128,461,461,574,0,597,113,1
TOW000008,CLM000387,VEH000387,P014,75024,Plano,TX,YARD_HOU_01,15.6,2025-01-15 14:00:00,2025-01-15 20:59:18,7.0,long_distance,123,18,63,0,204,253,0,243,49,0
TOW000009,CLM003703,VEH003703,P015,73102,Oklahoma City,OK,YARD_DAL_01,10.7,2025-03-11 14:00:00,2025-03-11 18:42:28,4.7,standard,108,9,54,268,268,349,1,350,81,1
TOW000010,CLM000645,VEH000645,P012,78664,Round Rock,TX,YARD_OKC_01,14.8,2025-02-20 10:00:00,2025-02-20 16:43:24,6.7,after_hours,121,14,62,0,196,289,0,316,93,0
TOW000011,CLM002548,VEH002548,P035,77002,Houston,TX,YARD_AUS_01,10.7,2025-04-27 11:00:00,2025-04-27 18:34:47,7.6,after_hours,108,9,54,0,171,209,0,225,38,0
TOW000012,CLM003297,VEH003297,P004,77520,Baytown,TX,YARD_OKC_01,28.2,2025-06-03 19:00:00,2025-06-04 03:15:22,8.3,standard,162,34,86,346,346,472,1,549,126,1
TOW000013,CLM002730,VEH002730,P024,78701,Austin,TX,YARD_HOU_01,22.7,2025-02-22 09:00:00,2025-02-22 16:59:33,8.0,standard,145,22,76,0,243,319,1,327,76,0
TOW000014,CLM008595,VEH008595,P028,75024,Plano,TX,YARD_HOU_01,17.0,2025-05-29 08:00:00,2025-05-29 10:02:39,2.0,long_distance,128,15,66,0,209,272,1,242,63,0
