location_event_id,vehicle_id,yard_id,assigned_zone_id,assigned_row_id,assigned_slot_id,assignment_date,relocation_count,relocated_flag,current_location_flag,initial_priority_score,final_priority_score,allocation_strategy,assigned_by,assignment_reason
LOC000001,VEH000001,YARD_OKC_01,NR,NR13,NR13-021,2025-07-23 07:54:00,0,0,1,83.0,83.0,first_available,system,overflow_capacity
LOC000002,VEH000002,YARD_DAL_01,FA,FA05,FA05-006,2025-03-26 03:27:00,0,0,1,86.8,86.8,random,yard_manager,overflow_capacity
LOC000003,VEH000003,YARD_OKC_01,A,A19,A19-007,2025-05-12 02:24:00,0,0,1,73.5,73.5,first_available,yard_manager,special_equipment
LOC000004,VEH000004,YARD_AUS_01,NR,NR05,NR05-018,2025-02-09 02:00:00,0,0,1,68.0,68.0,priority_based,system,high_priority
LOC000005,VEH000005,YARD_AUS_01,A,A16,A16-019,2025-04-04 05:11:00,0,0,1,88.8,88.8,first_available,system,long_term_hold
LOC000006,VEH000006,YARD_OKC_01,B,B20,B20-025,2025-02-12 02:11:00,0,0,1,83.2,83.2,optimized,system,high_priority
LOC000007,VEH000007,YARD_DAL_01,B,B18,B18-019,2025-05-10 05:06:00,0,0,1,77.4,77.4,optimized,simulation,special_equipment
LOC000008,VEH000008,YARD_AUS_01,A,A04,A04-004,2025-03-01 06:43:00,0,0,1,87.1,87.1,first_available,system,long_term_hold
LOC000009,VEH000009,YARD_DAL_01,B,B13,B13-004,2025-04-17 03:39:00,0,0,1,80.3,80.3,first_available,system,overflow_capacity
LOC000010,VEH000010,YARD_HOU_01,NR,NR20,NR20-021,2025-05-03 07:22:00,0,0,1,83.9,83.9,first_available,system,standard_storage
LOC000011,VEH000011,YARD_HOU_01,HV,HV05,HV05-003,2025-03-03 05:06:00,0,0,1,59.3,59.3,first_available,system,high_priority
LOC000012,VEH000012,YARD_OKC_01,FA,FA13,FA13-002,2025-06-08 08:11:00,0,0,1,92.0,92.0,priority_based,system,overflow_capacity
LOC000013,VEH000013,YARD_OKC_01,FA,FA13,FA13-009,2025-05-23 03:10:00,0,0,1,81.1,81.1,priority_based,yard_manager,special_equipment
LOC000014,VEH000014,YARD_DAL_01,B,B01,B01-003,2025-05-02 03:04:00,0,0,1,87.3,87.3,priority_based,system,high_priority
LOC000015,VEH000015,YARD_OKC_01,A,A05,A05-014,2025-01-20 06:32:00,0,0,1,76.3,76.3,optimized,yard_manager,special_equipment
LOC000016,VEH000016,YARD_DAL_01,LTH,LTH10,LTH10-013,2025-07-14 05:05:00,0,0,1,63.1,63.1,priority_based,yard_manager,overflow_capacity
LOC000017,VEH000017,YARD_AUS_01,FA,FA01,FA01-015,2025-05-03 06:25:00,0,0,1,85.1,85.1,priority_based,system,high_priority
LOC000018,VEH000018,YARD_HOU_01,FA,FA04,FA04-010,2025-06-24 08:50:00,0,0,1,73.2,73.2,optimized,simulation,overflow_capacity
LOC000019,VEH000019,YARD_HOU_01,NR,NR12,NR12-018,2025-03-07 08:46:00,0,0,1,71.3,71.3,priority_based,yard_manager,high_priority
LOC000020,VEH000020,YARD_DAL_01,B,B08,B08-017,2025-06-16 07:45:00,0,0,1,64.6,64.6,first_available,system,special_equipment
LOC000021,VEH000021,YARD_OKC_01,LTH,LTH06,LTH06-008,2025-03-12 03:26:00,0,0,1,73.4,73.4,priority_based,yard_manager,special_equipment
LOC000022,VEH000022,YARD_DAL_01,LTH,LTH03,LTH03-020,2025-06-26 01:30:00,0,0,1,80.2,80.2,first_available,simulation,overflow_capacity
LOC000023,VEH000023,YARD_HOU_01,NR,NR13,NR13-007,2025-03-03 03:06:00,0,0,1,78.7,78.7,random,system,high_priority
LOC000024,VEH000024,YARD_OKC_01,A,A11,A11-011,2025-03-06 08:22:00,0,0,1,70.1,70.1,optimized,system,standard_storage
LOC000025,VEH000025,YARD_OKC_01,NR,NR20,NR20-007,2025-05-25 07:19:00,0,0,1,83.4,83.4,first_available,yard_manager,high_priority
LOC000026,VEH000026,YARD_HOU_01,A,A14,A14-006,2025-03-02 02:59:00,0,0,1,83.5,83.5,first_available,simulation,special_equipment
LOC000027,VEH000027,YARD_AUS_01,B,B05,B05-015,2025-03-31 04:06:00,0,0,1,100,100,first_available,yard_manager,high_priority
