vehicle_id,claim_id,partner_id,yard_id,arrival_date,sale_date,pickup_date,vehicle_status,make,model,model_year,vehicle_age,vehicle_type,damage_type,damage_severity,drivability_status,title_status,estimated_salvage_value,estimated_sale_probability,expected_days_to_sale,actual_days_to_sale,pickup_required_flag,customer_pickup_flag,carrier_pickup_flag,partner_priority_score,operational_complexity_score,priority_score,created_at,updated_at
VEH000001,CLM000001,P040,YARD_OKC_01,2025-07-23,2025-08-31,,title_pending,Chevrolet,Tahoe,2017,9,SUV,mechanical,moderate,non_running,clean,7951,0.65,43,39,0,0,0,100,66,83.0,2025-07-23 09:09:00,2025-09-03 10:09:00
VEH000002,CLM000002,P040,YARD_DAL_01,2025-03-26,,,awaiting_sale,Ram,2500,2005,21,pickup,front_end,total_loss,runs_and_drives,rebuilt,3403,0.35,68,,1,0,1,100,45,86.8,2025-03-26 10:02:00,2025-04-08 11:02:00
VEH000003,CLM000003,P037,YARD_OKC_01,2025-05-12,2025-06-28,2025-07-04,picked_up,Ford,Explorer,2022,4,SUV,rear_end,severe,runs_and_drives,salvage,7761,0.85,34,47,1,1,0,88,42,73.5,2025-05-12 10:31:00,2025-06-26 16:31:00
VEH000004,CLM000004,P035,YARD_AUS_01,2025-02-09,2025-03-27,,awaiting_sale,BMW,X3,2024,2,SUV,mechanical,moderate,forklift_required,salvage,6661,0.67,43,46,0,0,0,88,87,68.0,2025-02-09 09:05:00,2025-02-14 12:05:00
VEH000005,CLM000005,P031,YARD_AUS_01,2025-04-04,2025-05-18,2025-05-23,picked_up,Chevrolet,Tahoe,2017,9,SUV,side,total_loss,non_running,rebuilt,15586,0.61,53,44,1,0,1,100,73,88.8,2025-04-04 11:25:00,2025-05-06 17:25:00
VEH000006,CLM000006,P028,YARD_OKC_01,2025-02-12,2025-05-02,2025-05-10,picked_up,Nissan,Frontier,2008,18,pickup,mechanical,severe,non_running,salvage,14697,0.54,74,79,1,1,0,100,84,83.2,2025-02-12 13:26:00,2025-02-25 14:26:00
VEH000007,CLM000007,P015,YARD_DAL_01,2025-05-10,2025-05-17,2025-05-21,picked_up,Nissan,Rogue,2023,3,SUV,side,minor,non_running,missing_title,5004,0.75,20,7,1,0,1,100,48,77.4,2025-05-10 13:33:00,2025-05-13 19:33:00
VEH000008,CLM000008,P040,YARD_AUS_01,2025-03-01,2025-03-27,2025-03-31,picked_up,Ram,1500,2013,13,pickup,rear_end,moderate,non_running,missing_title,15936,0.79,34,26,1,1,0,100,43,87.1,2025-03-01 14:53:00,2025-04-08 17:53:00
VEH000009,CLM000009,P015,YARD_DAL_01,2025-04-17,,,title_pending,Chevrolet,Silverado,2011,15,pickup,theft_recovery,moderate,runs_and_drives,salvage,500,0.50,43,,1,1,0,100,32,80.3,2025-04-17 09:32:00,2025-05-26 08:32:00
VEH000010,CLM000010,P022,YARD_HOU_01,2025-05-03,2025-06-19,2025-06-24,picked_up,BMW,3 Series,2011,15,sedan,theft_recovery,moderate,non_running,clean,5914,0.52,42,47,1,1,0,100,51,83.9,2025-05-03 09:06:00,2025-05-30 10:06:00
VEH000011,CLM000011,P037,YARD_HOU_01,2025-03-03,,,listed,Honda,CR-V,2007,19,SUV,mechanical,moderate,heavy_equipment_required,rebuilt,500,0.41,78,,1,0,1,80,95,59.3,2025-03-03 10:49:00,2025-04-01 14:49:00
VEH000012,CLM000012,P005,YARD_OKC_01,2025-06-08,2025-06-27,2025-07-03,picked_up,Ford,Mustang,2025,1,sedan,hail,severe,runs_and_drives,clean,14704,0.89,25,19,1,0,1,100,45,92.0,2025-06-08 10:04:00,2025-07-03 15:04:00
VEH000013,CLM000013,P004,YARD_OKC_01,2025-05-23,2025-07-20,,sold_pending_pickup,Chevrolet,Malibu,2010,16,sedan,flood,moderate,non_running,rebuilt,12450,0.50,65,58,1,0,1,100,71,81.1,2025-05-23 16:24:00,2025-06-05 15:24:00
VEH000014,CLM000014,P024,YARD_DAL_01,2025-05-02,,,listed,Nissan,Rogue,2017,9,SUV,mechanical,minor,runs_and_drives,salvage,9123,0.77,17,,1,1,0,100,24,87.3,2025-05-02 16:35:00,2025-05-05 20:35:00
VEH000015,CLM000015,P011,YARD_OKC_01,2025-01-20,2025-03-24,,sold_pending_pickup,BMW,3 Series,2007,19,sedan,front_end,moderate,forklift_required,clean,723,0.28,66,63,1,0,1,95,79,76.3,2025-01-20 17:23:00,2025-01-26 18:23:00
VEH000016,CLM000016,P039,YARD_DAL_01,2025-07-14,,,title_pending,Nissan,Altima,2007,19,sedan,theft_recovery,severe,runs_and_drives,clean,500,0.38,55,,1,0,1,78,45,63.1,2025-07-14 17:48:00,2025-08-21 00:48:00
VEH000017,CLM000017,P013,YARD_AUS_01,2025-05-03,,,awaiting_sale,Ford,Mustang,2005,21,sedan,rear_end,severe,runs_and_drives,salvage,500,0.36,50,,1,0,1,100,40,85.1,2025-05-03 09:30:00,2025-06-08 11:30:00
VEH000018,CLM000018,P003,YARD_HOU_01,2025-06-24,2025-08-02,,sold_pending_pickup,Honda,Civic,2024,2,sedan,mechanical,moderate,non_running,clean,11737,0.65,30,39,1,0,1,88,61,73.2,2025-06-24 17:56:00,2025-07-30 19:56:00
VEH000019,CLM000019,P003,YARD_HOU_01,2025-03-07,,,awaiting_sale,Kia,Optima,2020,6,sedan,rear_end,minor,forklift_required,salvage,10898,0.80,29,,1,0,1,86,65,71.3,2025-03-07 16:00:00,2025-03-16 17:00:00
