allocation_scenario_id,simulation_run_id,vehicle_id,yard_id,allocation_strategy,assigned_zone_id,assigned_slot_id,vehicle_priority_score,zone_accessibility_score,simulated_retrieval_duration_minutes,simulated_wait_time_minutes,simulated_travel_distance_meters,blocked_vehicle_count_estimate,high_priority_flag,retrieval_under_15_min_flag,priority_weighted_time,allocation_efficiency_score
ALC000001,RUN001,VEH000001,YARD_OKC_01,random,A,A08-023,83.0,76,57.5,72.2,896,5,1,0,47.7,73
ALC000002,RUN001,VEH000001,YARD_OKC_01,first_available,B,B20-018,83.0,74,27.6,32.2,862,0,1,0,22.9,100
ALC000003,RUN001,VEH000001,YARD_OKC_01,priority_based,A,A20-017,83.0,62,29.1,45.5,704,0,1,0,24.1,99
ALC000004,RUN001,VEH000001,YARD_OKC_01,optimized,FA,FA19-020,83.0,99,23.4,40.0,308,4,1,0,19.4,100
ALC000005,RUN001,VEH000002,YARD_DAL_01,random,A,A04-025,86.8,72,33.4,54.3,518,2,1,0,29.0,96
ALC000006,RUN001,VEH000002,YARD_DAL_01,first_available,A,A08-002,86.8,69,34.8,51.8,724,3,1,0,30.2,92
ALC000007,RUN001,VEH000002,YARD_DAL_01,priority_based,B,B18-019,86.8,82,40.9,58.4,818,6,1,0,35.5,86
ALC000008,RUN001,VEH000002,YARD_DAL_01,optimized,B,B13-018,86.8,72,15.0,45.2,450,1,1,0,13.0,100
ALC000009,RUN001,VEH000003,YARD_OKC_01,random,OF,OF07-001,73.5,41,50.4,70.5,1604,2,0,0,37.1,72
ALC000010,RUN001,VEH000003,YARD_OKC_01,first_available,LTH,LTH10-006,73.5,53,31.9,41.8,1290,1,0,0,23.4,92
ALC000011,RUN001,VEH000003,YARD_OKC_01,priority_based,A,A05-014,73.5,69,26.4,36.7,400,3,0,0,19.4,98
ALC000012,RUN001,VEH000003,YARD_OKC_01,optimized,B,B07-007,73.5,81,23.8,43.1,586,4,0,0,17.5,100
ALC000013,RUN001,VEH000004,YARD_AUS_01,random,NR,NR09-023,68.0,52,69.5,84.6,1129,6,0,0,47.3,54
ALC000014,RUN001,VEH000004,YARD_AUS_01,first_available,A,A06-010,68.0,78,42.2,54.5,807,3,0,0,28.7,89
ALC000015,RUN001,VEH000004,YARD_AUS_01,priority_based,NR,NR09-016,68.0,70,49.2,62.2,1225,4,0,0,33.5,79
ALC000016,RUN001,VEH000004,YARD_AUS_01,optimized,FA,FA10-007,68.0,84,20.5,37.7,78,1,0,0,14.0,100
ALC000017,RUN001,VEH000005,YARD_AUS_01,random,A,A17-001,88.8,61,57.1,75.4,920,4,1,0,50.7,70
ALC000018,RUN001,VEH000005,YARD_AUS_01,first_available,B,B02-020,88.8,84,39.2,74.6,613,3,1,0,34.8,93
ALC000019,RUN001,VEH000005,YARD_AUS_01,priority_based,A,A17-001,88.8,61,27.8,41.7,779,0,1,0,24.6,100
ALC000020,RUN001,VEH000005,YARD_AUS_01,optimized,A,A15-023,88.8,56,37.7,59.3,653,3,1,0,33.5,93
ALC000021,RUN001,VEH000006,YARD_OKC_01,random,A,A04-018,83.2,55,41.0,57.6,667,1,1,0,34.1,86
ALC000022,RUN001,VEH000006,YARD_OKC_01,first_available,B,B03-002,83.2,77,44.0,64.9,463,4,1,0,36.6,85
ALC000023,RUN001,VEH000006,YARD_OKC_01,priority_based,B,B04-005,83.2,72,31.2,51.7,472,3,1,0,26.0,95
ALC000024,RUN001,VEH000006,YARD_OKC_01,optimized,B,B07-007,83.2,81,29.9,50.6,559,2,1,0,24.9,100
ALC000025,RUN001,VEH000007,YARD_DAL_01,random,B,B03-002,77.4,77,27.6,34.6,661,0,1,0,21.4,100
ALC000026,RUN001,VEH000007,YARD_DAL_01,first_available,A,A20-017,77.4,75,34.1,50.2,762,3,1,0,26.4,94
ALC000027,RUN001,VEH000007,YARD_DAL_01,priority_based,B,B20-004,77.4,83,23.1,48.9,330,2,1,0,17.9,100
ALC000028,RUN001,VEH000007,YARD_DAL_01,optimized,A,A20-024,77.4,75,16.8,33.0,361,3,1,0,13.0,100
ALC000029,RUN001,VEH000008,YARD_AUS_01,random,A,A10-008,87.1,58,22.6,36.4,433,0,1,0,19.6,100
ALC000030,RUN001,VEH000008,YARD_AUS_01,first_available,B,B15-003,87.1,60,31.0,50.1,496,4,1,0,27.0,89
ALC000031,RUN001,VEH000008,YARD_AUS_01,priority_based,A,A15-009,87.1,83,17.2,27.2,346,0,1,0,15.0,100
ALC000032,RUN001,VEH000008,YARD_AUS_01,optimized,FA,FA07-005,87.1,94,18.0,38.7,212,1,1,0,15.6,100
ALC000033,RUN001,VEH000009,YARD_DAL_01,random,A,A11-004,80.3,57,30.4,44.7,644,0,1,0,24.4,97
ALC000034,RUN001,VEH000009,YARD_DAL_01,first_available,A,A02-005,80.3,77,38.9,68.0,413,5,1,0,31.3,87
ALC000035,RUN001,VEH000009,YARD_DAL_01,priority_based,B,B09-013,80.3,78,15.8,36.7,535,0,1,0,12.6,100
ALC000036,RUN001,VEH000009,YARD_DAL_01,optimized,FA,FA04-024,80.3,92,10.2,14.6,134,0,1,1,8.2,100
ALC000037,RUN001,VEH000010,YARD_HOU_01,random,NR,NR13-021,83.9,47,54.2,86.4,559,5,1,0,45.5,65
ALC000038,RUN001,VEH000010,YARD_HOU_01,first_available,NR,NR15-020,83.9,62,55.4,64.0,1274,4,1,0,46.4,72
ALC000039,RUN001,VEH000010,YARD_HOU_01,priority_based,B,B16-020,83.9,57,28.7,37.4,675,3,1,0,24.1,92
ALC000040,RUN001,VEH000010,YARD_HOU_01,optimized,A,A18-004,83.9,80,40.1,58.3,848,5,1,0,33.6,95
ALC000041,RUN001,VEH000011,YARD_HOU_01,random,HV,HV07-002,59.3,49,60.2,85.1,812,4,0,0,35.7,64
ALC000042,RUN001,VEH000011,YARD_HOU_01,first_available,HV,HV13-013,59.3,40,33.9,42.8,868,0,0,0,20.1,88
ALC000043,RUN001,VEH000011,YARD_HOU_01,priority_based,HV,HV20-006,59.3,55,41.4,60.8,1074,4,0,0,24.6,80
ALC000044,RUN001,VEH000011,YARD_HOU_01,optimized,A,A01-009,59.3,63,31.1,51.1,822,2,0,0,18.4,100
ALC000045,RUN001,VEH000012,YARD_OKC_01,random,OF,OF14-008,92.0,26,53.1,78.9,1046,5,1,0,48.9,59
ALC000046,RUN001,VEH000012,YARD_OKC_01,first_available,A,A07-006,92.0,69,33.2,37.2,808,2,1,0,30.6,95
ALC000047,RUN001,VEH000012,YARD_OKC_01,priority_based,A,A05-007,92.0,73,20.6,40.3,457,2,1,0,19.0,100
ALC000048,RUN001,VEH000012,YARD_OKC_01,optimized,A,A15-016,92.0,59,31.5,59.1,741,5,1,0,28.9,95
ALC000049,RUN001,VEH000013,YARD_OKC_01,random,A,A17-022,81.1,72,51.2,77.7,926,4,1,0,41.5,78
ALC000050,RUN001,VEH000013,YARD_OKC_01,first_available,NR,NR10-005,81.1,46,57.8,75.7,1035,7,1,0,46.8,58
ALC000051,RUN001,VEH000013,YARD_OKC_01,priority_based,B,B05-001,81.1,67,36.5,54.3,842,2,1,0,29.6,92
