yard_id,yard_name,region,zone_id,row_id,slot_id,zone_type,distance_to_gate_meters,distance_to_office_meters,distance_to_loading_area_meters,capacity,current_occupancy,occupancy_rate,congestion_score,accessibility_score,equipment_required,surface_type,indoor_flag,active_flag
YARD_DAL_01,Dallas North Yard,Texas,FA,FA01,FA01-001,fast_access,47,205,20,1,1,1.00,25,88,none,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,A,A01,A01-002,standard,403,431,268,1,1,1.00,54,77,none,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,B,B01,B01-003,standard,297,433,90,1,1,1.00,35,85,none,mixed,0,1
YARD_DAL_01,Dallas North Yard,Texas,OF,OF01,OF01-004,overflow,1618,1496,1701,1,1,1.00,85,45,forklift,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,HV,HV01,HV01-005,heavy_vehicle,554,455,741,1,1,1.00,54,62,heavy_tow,mixed,0,1
YARD_DAL_01,Dallas North Yard,Texas,NR,NR01,NR01-006,non_running,705,580,744,1,1,1.00,74,62,forklift,gravel,0,0
YARD_DAL_01,Dallas North Yard,Texas,LTH,LTH01,LTH01-007,long_term_hold,1130,1155,1235,1,1,1.00,56,28,loader,mixed,0,1
YARD_DAL_01,Dallas North Yard,Texas,FA,FA01,FA01-008,fast_access,79,252,20,1,1,1.00,37,87,none,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,A,A01,A01-009,standard,656,633,601,1,1,1.00,52,81,none,dirt,0,1
YARD_DAL_01,Dallas North Yard,Texas,B,B01,B01-010,standard,268,345,339,1,1,1.00,42,83,none,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,OF,OF01,OF01-011,overflow,908,997,796,1,1,1.00,91,42,forklift,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,HV,HV01,HV01-012,heavy_vehicle,736,860,521,1,0,0.00,73,57,heavy_tow,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,NR,NR01,NR01-013,non_running,597,560,730,1,1,1.00,66,66,forklift,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,LTH,LTH01,LTH01-014,long_term_hold,1158,1205,1292,1,1,1.00,26,27,loader,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,FA,FA01,FA01-015,fast_access,134,191,295,1,1,1.00,40,99,none,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,A,A01,A01-016,standard,493,431,434,1,1,1.00,41,62,none,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,B,B01,B01-017,standard,369,350,519,1,1,1.00,37,61,none,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,OF,OF01,OF01-018,overflow,1429,1385,1393,1,1,1.00,66,41,forklift,paved,0,0
YARD_DAL_01,Dallas North Yard,Texas,HV,HV01,HV01-019,heavy_vehicle,996,863,1059,1,1,1.00,43,43,heavy_tow,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,NR,NR01,NR01-020,non_running,1003,1136,928,1,0,0.00,71,41,forklift,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,LTH,LTH01,LTH01-021,long_term_hold,888,972,726,1,0,0.00,28,33,loader,dirt,0,1
YARD_DAL_01,Dallas North Yard,Texas,FA,FA01,FA01-022,fast_access,58,186,20,1,1,1.00,13,86,none,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,A,A01,A01-023,standard,606,561,783,1,1,1.00,63,74,none,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,B,B01,B01-024,standard,633,692,569,1,1,1.00,44,82,none,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,OF,OF01,OF01-025,overflow,1053,1231,874,1,1,1.00,73,35,forklift,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,HV,HV02,HV02-001,heavy_vehicle,526,670,546,1,1,1.00,45,35,heavy_tow,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,NR,NR02,NR02-002,non_running,1073,1032,988,1,1,1.00,58,64,forklift,dirt,0,1
YARD_DAL_01,Dallas North Yard,Texas,LTH,LTH02,LTH02-003,long_term_hold,1377,1332,1488,1,1,1.00,37,38,loader,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,FA,FA02,FA02-004,fast_access,76,73,160,1,1,1.00,14,83,none,dirt,0,1
YARD_DAL_01,Dallas North Yard,Texas,A,A02,A02-005,standard,307,353,226,1,1,1.00,54,77,none,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,B,B02,B02-006,standard,262,267,351,1,0,0.00,63,56,none,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,OF,OF02,OF02-007,overflow,892,821,912,1,1,1.00,77,33,forklift,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,HV,HV02,HV02-008,heavy_vehicle,734,825,560,1,1,1.00,46,53,heavy_tow,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,NR,NR02,NR02-009,non_running,678,686,668,1,0,0.00,82,41,forklift,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,LTH,LTH02,LTH02-010,long_term_hold,1110,1111,1019,1,1,1.00,60,26,loader,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,FA,FA02,FA02-011,fast_access,143,260,159,1,1,1.00,42,82,none,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,A,A02,A02-012,standard,690,634,606,1,1,1.00,65,69,none,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,B,B02,B02-013,standard,628,790,719,1,1,1.00,69,70,none,dirt,0,1
YARD_DAL_01,Dallas North Yard,Texas,OF,OF02,OF02-014,overflow,1486,1373,1381,1,1,1.00,95,15,forklift,mixed,0,1
YARD_DAL_01,Dallas North Yard,Texas,HV,HV02,HV02-015,heavy_vehicle,922,1017,1068,1,0,0.00,42,55,heavy_tow,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,NR,NR02,NR02-016,non_running,775,897,629,1,1,1.00,70,65,forklift,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,LTH,LTH02,LTH02-017,long_term_hold,1220,1272,1174,1,1,1.00,33,52,loader,mixed,0,1
YARD_DAL_01,Dallas North Yard,Texas,FA,FA02,FA02-018,fast_access,40,176,157,1,1,1.00,28,91,none,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,A,A02,A02-019,standard,533,566,546,1,1,1.00,46,72,none,mixed,0,1
YARD_DAL_01,Dallas North Yard,Texas,B,B02,B02-020,standard,424,474,226,1,1,1.00,61,67,none,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,OF,OF02,OF02-021,overflow,1630,1803,1487,1,1,1.00,84,36,forklift,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,HV,HV02,HV02-022,heavy_vehicle,964,1029,795,1,0,0.00,72,45,heavy_tow,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,NR,NR02,NR02-023,non_running,1089,1008,907,1,0,0.00,49,61,forklift,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,LTH,LTH02,LTH02-024,long_term_hold,1046,927,1262,1,1,1.00,64,47,loader,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,FA,FA02,FA02-025,fast_access,176,265,233,1,1,1.00,34,92,none,paved,1,1
YARD_DAL_01,Dallas North Yard,Texas,A,A03,A03-001,standard,474,364,643,1,1,1.00,39,78,none,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,B,B03,B03-002,standard,634,488,437,1,1,1.00,35,77,none,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,OF,OF03,OF03-003,overflow,1584,1695,1574,1,1,1.00,83,28,forklift,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,HV,HV03,HV03-004,heavy_vehicle,624,659,721,1,1,1.00,46,37,heavy_tow,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,NR,NR03,NR03-005,non_running,947,917,962,1,1,1.00,49,49,forklift,paved,0,0
YARD_DAL_01,Dallas North Yard,Texas,LTH,LTH03,LTH03-006,long_term_hold,1523,1642,1383,1,1,1.00,54,53,loader,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,FA,FA03,FA03-007,fast_access,116,110,20,1,1,1.00,37,90,none,mixed,0,1
YARD_DAL_01,Dallas North Yard,Texas,A,A03,A03-008,standard,570,561,361,1,1,1.00,61,66,none,mixed,0,1
YARD_DAL_01,Dallas North Yard,Texas,B,B03,B03-009,standard,461,326,551,1,0,0.00,25,73,none,dirt,0,1
YARD_DAL_01,Dallas North Yard,Texas,OF,OF03,OF03-010,overflow,1436,1388,1541,1,1,1.00,74,34,forklift,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,HV,HV03,HV03-011,heavy_vehicle,1223,1384,1333,1,1,1.00,43,55,heavy_tow,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,NR,NR03,NR03-012,non_running,384,270,315,1,1,1.00,77,58,forklift,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,LTH,LTH03,LTH03-013,long_term_hold,905,932,956,1,1,1.00,33,50,loader,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,FA,FA03,FA03-014,fast_access,82,73,244,1,0,0.00,26,97,none,dirt,0,1
YARD_DAL_01,Dallas North Yard,Texas,A,A03,A03-015,standard,257,300,470,1,0,0.00,34,79,none,dirt,0,1
YARD_DAL_01,Dallas North Yard,Texas,B,B03,B03-016,standard,584,656,552,1,1,1.00,25,63,none,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,OF,OF03,OF03-017,overflow,1630,1711,1422,1,1,1.00,83,18,forklift,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,HV,HV03,HV03-018,heavy_vehicle,785,950,986,1,1,1.00,74,42,heavy_tow,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,NR,NR03,NR03-019,non_running,1014,873,949,1,1,1.00,66,42,forklift,mixed,0,1
YARD_DAL_01,Dallas North Yard,Texas,LTH,LTH03,LTH03-020,long_term_hold,940,969,1063,1,1,1.00,59,29,loader,mixed,0,1
YARD_DAL_01,Dallas North Yard,Texas,FA,FA03,FA03-021,fast_access,178,353,20,1,1,1.00,36,86,none,dirt,0,1
YARD_DAL_01,Dallas North Yard,Texas,A,A03,A03-022,standard,466,533,473,1,1,1.00,27,77,none,mixed,0,1
YARD_DAL_01,Dallas North Yard,Texas,B,B03,B03-023,standard,281,451,244,1,1,1.00,68,66,none,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,OF,OF03,OF03-024,overflow,1100,1268,1207,1,1,1.00,89,17,forklift,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,HV,HV03,HV03-025,heavy_vehicle,1255,1384,1140,1,0,0.00,56,42,heavy_tow,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,NR,NR04,NR04-001,non_running,562,521,510,1,0,0.00,77,48,forklift,dirt,0,1
YARD_DAL_01,Dallas North Yard,Texas,LTH,LTH04,LTH04-002,long_term_hold,1310,1224,1156,1,0,0.00,25,33,loader,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,FA,FA04,FA04-003,fast_access,68,29,149,1,1,1.00,11,86,none,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,A,A04,A04-004,standard,611,694,620,1,1,1.00,58,58,none,dirt,0,1
YARD_DAL_01,Dallas North Yard,Texas,B,B04,B04-005,standard,291,445,93,1,1,1.00,53,71,none,dirt,0,1
YARD_DAL_01,Dallas North Yard,Texas,OF,OF04,OF04-006,overflow,1467,1338,1492,1,0,0.00,89,35,forklift,dirt,0,1
YARD_DAL_01,Dallas North Yard,Texas,HV,HV04,HV04-007,heavy_vehicle,560,437,381,1,0,0.00,66,57,heavy_tow,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,NR,NR04,NR04-008,non_running,479,514,564,1,1,1.00,57,70,forklift,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,LTH,LTH04,LTH04-009,long_term_hold,1319,1217,1535,1,0,0.00,52,28,loader,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,FA,FA04,FA04-010,fast_access,95,146,48,1,1,1.00,37,96,none,dirt,0,1
YARD_DAL_01,Dallas North Yard,Texas,A,A04,A04-011,standard,500,531,358,1,1,1.00,52,65,none,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,B,B04,B04-012,standard,273,303,468,1,1,1.00,30,57,none,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,OF,OF04,OF04-013,overflow,1525,1705,1689,1,1,1.00,67,28,forklift,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,HV,HV04,HV04-014,heavy_vehicle,502,395,577,1,1,1.00,53,54,heavy_tow,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,NR,NR04,NR04-015,non_running,843,967,811,1,1,1.00,54,41,forklift,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,LTH,LTH04,LTH04-016,long_term_hold,931,1089,1025,1,1,1.00,52,52,loader,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,FA,FA04,FA04-017,fast_access,108,106,61,1,1,1.00,11,87,none,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,A,A04,A04-018,standard,590,445,416,1,1,1.00,29,59,none,dirt,0,1
YARD_DAL_01,Dallas North Yard,Texas,B,B04,B04-019,standard,609,608,758,1,1,1.00,54,65,none,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,OF,OF04,OF04-020,overflow,1023,1179,828,1,1,1.00,63,19,forklift,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,HV,HV04,HV04-021,heavy_vehicle,1127,1179,1046,1,1,1.00,62,50,heavy_tow,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,NR,NR04,NR04-022,non_running,703,846,732,1,1,1.00,67,42,forklift,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,LTH,LTH04,LTH04-023,long_term_hold,925,869,859,1,1,1.00,50,44,loader,mixed,0,1
YARD_DAL_01,Dallas North Yard,Texas,FA,FA04,FA04-024,fast_access,105,199,267,1,1,1.00,28,92,none,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,A,A04,A04-025,standard,415,436,231,1,0,0.00,57,72,none,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,B,B05,B05-001,standard,626,626,700,1,0,0.00,26,69,none,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,OF,OF05,OF05-002,overflow,1705,1711,1572,1,1,1.00,78,18,forklift,dirt,0,1
YARD_DAL_01,Dallas North Yard,Texas,HV,HV05,HV05-003,heavy_vehicle,1156,1050,1060,1,1,1.00,58,37,heavy_tow,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,NR,NR05,NR05-004,non_running,430,383,380,1,1,1.00,65,54,forklift,dirt,0,1
YARD_DAL_01,Dallas North Yard,Texas,LTH,LTH05,LTH05-005,long_term_hold,1348,1366,1307,1,1,1.00,32,41,loader,dirt,0,1
YARD_DAL_01,Dallas North Yard,Texas,FA,FA05,FA05-006,fast_access,77,20,20,1,1,1.00,25,85,none,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,A,A05,A05-007,standard,361,489,530,1,1,1.00,65,70,none,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,B,B05,B05-008,standard,510,384,530,1,1,1.00,65,65,none,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,OF,OF05,OF05-009,overflow,1412,1289,1350,1,1,1.00,97,16,forklift,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,HV,HV05,HV05-010,heavy_vehicle,827,713,921,1,1,1.00,53,37,heavy_tow,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,NR,NR05,NR05-011,non_running,944,1076,1057,1,1,1.00,75,37,forklift,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,LTH,LTH05,LTH05-012,long_term_hold,1213,1105,1408,1,1,1.00,34,55,loader,mixed,0,1
YARD_DAL_01,Dallas North Yard,Texas,FA,FA05,FA05-013,fast_access,61,125,65,1,1,1.00,42,87,none,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,A,A05,A05-014,standard,469,615,275,1,1,1.00,49,68,none,dirt,0,1
YARD_DAL_01,Dallas North Yard,Texas,B,B05,B05-015,standard,247,284,172,1,1,1.00,46,58,none,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,OF,OF05,OF05-016,overflow,1157,1069,1116,1,1,1.00,81,17,forklift,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,HV,HV05,HV05-017,heavy_vehicle,1128,1011,1066,1,1,1.00,60,39,heavy_tow,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,NR,NR05,NR05-018,non_running,686,742,726,1,1,1.00,48,68,forklift,gravel,0,1
YARD_DAL_01,Dallas North Yard,Texas,LTH,LTH05,LTH05-019,long_term_hold,884,972,762,1,0,0.00,38,35,loader,paved,0,1
YARD_DAL_01,Dallas North Yard,Texas,FA,FA05,FA05-020,fast_access,59,175,266,1,1,1.00,28,85,none,dirt,0,1
YARD_DAL_01,Dallas North Yard,Texas,A,A05,A05-021,standard,314,246,519,1,1,1.00,63,67,none,gravel,0,1
