storage_event_id,vehicle_id,partner_id,yard_id,arrival_date,release_date,days_in_yard,free_storage_days,billable_storage_days,daily_storage_rate,total_storage_fee,yard_cost_per_day,total_yard_cost,storage_margin,capacity_utilization_at_arrival,long_hold_flag,storage_billing_status
STG000001,VEH000001,P040,YARD_OKC_01,2025-07-23,,51,7,44,30,1320,12,612,708,0.83,1,billable
STG000002,VEH000002,P040,YARD_DAL_01,2025-03-26,,62,7,55,30,1650,14,868,782,0.87,1,collected
STG000003,VEH000003,P037,YARD_OKC_01,2025-05-12,2025-07-04,53,3,50,22,1100,11,583,517,0.98,1,collected
STG000004,VEH000004,P035,YARD_AUS_01,2025-02-09,,88,3,85,25,2125,18,1584,541,1.06,1,collected
STG000005,VEH000005,P031,YARD_AUS_01,2025-04-04,2025-05-23,49,14,35,35,1225,12,588,637,0.86,1,collected
STG000006,VEH000006,P028,YARD_OKC_01,2025-02-12,2025-05-10,87,0,87,33,2871,14,1218,1653,0.57,1,collected
STG000007,VEH000007,P015,YARD_DAL_01,2025-05-10,2025-05-21,11,3,8,25,200,11,121,79,0.57,0,collected
STG000008,VEH000008,P040,YARD_AUS_01,2025-03-01,2025-03-31,30,7,23,30,690,11,330,360,0.64,0,collected
STG000009,VEH000009,P015,YARD_DAL_01,2025-04-17,,40,3,37,25,925,13,520,405,0.89,1,billable
STG000010,VEH000010,P022,YARD_HOU_01,2025-05-03,2025-06-24,52,14,38,29,1102,9,468,634,0.89,1,collected
STG000011,VEH000011,P037,YARD_HOU_01,2025-03-03,,70,3,67,22,1474,16,1120,354,0.68,1,billable
STG000012,VEH000012,P005,YARD_OKC_01,2025-06-08,2025-07-03,25,3,22,35,770,11,275,495,0.74,0,collected
STG000013,VEH000013,P004,YARD_OKC_01,2025-05-23,,104,0,104,28,2912,15,1560,1352,0.90,1,billable
STG000014,VEH000014,P024,YARD_DAL_01,2025-05-02,,1,0,1,29,29,7,7,22,0.79,0,waived
STG000015,VEH000015,P011,YARD_OKC_01,2025-01-20,,76,7,69,27,1863,18,1368,495,0.56,1,disputed
STG000016,VEH000016,P039,YARD_DAL_01,2025-07-14,,64,0,64,19,1216,10,640,576,0.63,1,disputed
STG000017,VEH000017,P013,YARD_AUS_01,2025-05-03,,68,0,68,28,1904,10,680,1224,0.82,1,waived
STG000018,VEH000018,P003,YARD_HOU_01,2025-06-24,,1,7,0,26,0,14,14,-14,0.95,0,collected
STG000019,VEH000019,P003,YARD_HOU_01,2025-03-07,,24,7,17,26,442,10,240,202,0.72,0,billable
STG000020,VEH000020,P035,YARD_DAL_01,2025-06-16,2025-07-20,34,3,31,25,775,19,646,129,0.78,0,collected
STG000021,VEH000021,P014,YARD_OKC_01,2025-03-12,2025-04-20,39,0,39,16,624,8,312,312,0.92,1,collected
STG000022,VEH000022,P008,YARD_DAL_01,2025-06-26,,1,0,1,21,21,8,8,13,0.92,0,waived
STG000023,VEH000023,P015,YARD_HOU_01,2025-03-03,,37,3,34,25,850,11,407,443,0.77,1,billable
STG000024,VEH000024,P038,YARD_OKC_01,2025-03-06,,60,5,55,22,1210,13,780,430,0.85,1,billable
STG000025,VEH000025,P004,YARD_OKC_01,2025-05-25,,86,0,86,28,2408,13,1118,1290,0.94,1,disputed
STG000026,VEH000026,P028,YARD_HOU_01,2025-03-02,,40,0,40,33,1320,17,680,640,1.11,1,billable
STG000027,VEH000027,P020,YARD_AUS_01,2025-03-31,2025-05-05,35,0,35,39,1365,4,140,1225,0.67,0,collected
STG000028,VEH000028,P028,YARD_HOU_01,2025-01-31,,80,0,80,33,2640,13,1040,1600,0.73,1,billable
STG000029,VEH000029,P005,YARD_DAL_01,2025-01-28,,45,3,42,35,1470,14,630,840,0.69,1,billable
STG000030,VEH000030,P037,YARD_HOU_01,2025-03-17,,69,3,66,22,1452,11,759,693,1.07,1,collected
STG000031,VEH000031,P037,YARD_HOU_01,2025-05-11,2025-07-23,73,3,70,22,1540,12,876,664,0.93,1,collected
STG000032,VEH000032,P005,YARD_HOU_01,2025-05-20,,75,3,72,35,2520,11,825,1695,0.63,1,billable
STG000033,VEH000033,P031,YARD_DAL_01,2025-06-15,,72,14,58,35,2030,18,1296,734,1.01,1,billable
STG000034,VEH000034,P015,YARD_DAL_01,2025-07-15,,55,3,52,25,1300,8,440,860,0.71,1,billable
STG000035,VEH000035,P002,YARD_DAL_01,2025-07-24,,34,3,31,26,806,9,306,500,0.67,0,billable
STG000036,VEH000036,P029,YARD_DAL_01,2025-05-15,2025-06-19,35,3,32,27,864,10,350,514,1.10,0,collected
STG000037,VEH000037,P013,YARD_AUS_01,2025-02-06,2025-03-24,46,0,46,28,1288,11,506,782,1.04,1,collected
STG000038,VEH000038,P011,YARD_OKC_01,2025-02-10,,36,7,29,27,783,17,612,171,0.86,1,billable
STG000039,VEH000039,P023,YARD_HOU_01,2025-01-06,,19,7,12,26,312,10,190,122,0.87,0,billable
STG000040,VEH000040,P029,YARD_HOU_01,2025-04-01,,49,3,46,27,1242,13,637,605,0.31,1,disputed
STG000041,VEH000041,P004,YARD_OKC_01,2025-01-11,2025-01-20,9,0,9,28,252,7,63,189,0.50,0,collected
STG000042,VEH000042,P004,YARD_OKC_01,2025-01-04,2025-02-05,32,0,32,28,896,10,320,576,0.82,0,collected
STG000043,VEH000043,P037,YARD_HOU_01,2025-05-19,2025-06-01,13,3,10,22,220,9,117,103,0.66,0,collected
STG000044,VEH000044,P006,YARD_HOU_01,2025-05-18,2025-07-03,46,5,41,32,1312,8,368,944,0.71,1,collected
STG000045,VEH000045,P028,YARD_DAL_01,2025-07-15,2025-09-03,50,0,50,33,1650,19,950,700,0.73,1,collected
STG000046,VEH000046,P011,YARD_AUS_01,2025-05-15,,40,7,33,27,891,13,520,371,1.10,1,collected
STG000047,VEH000047,P031,YARD_AUS_01,2025-01-27,,25,14,11,35,385,17,425,-40,1.15,0,not_billable
STG000048,VEH000048,P035,YARD_AUS_01,2025-05-27,,6,3,3,25,75,15,90,-15,0.76,0,collected
STG000049,VEH000049,P003,YARD_AUS_01,2025-02-19,2025-04-07,47,7,40,26,1040,11,517,523,0.80,1,collected
STG000050,VEH000050,P024,YARD_DAL_01,2025-07-05,,18,0,18,29,522,8,144,378,0.74,0,billable
STG000051,VEH000051,P037,YARD_HOU_01,2025-07-20,,116,3,113,22,2486,18,2088,398,1.03,1,billable
STG000052,VEH000052,P032,YARD_OKC_01,2025-07-26,2025-09-09,45,7,38,26,988,11,495,493,0.65,1,collected
STG000053,VEH000053,P025,YARD_AUS_01,2025-01-15,,68,0,68,18,1224,13,884,340,0.65,1,billable
STG000054,VEH000054,P035,YARD_DAL_01,2025-06-11,,23,3,20,25,500,9,207,293,0.77,0,billable
STG000055,VEH000055,P003,YARD_AUS_01,2025-04-16,,37,7,30,26,780,14,518,262,0.89,1,billable
STG000056,VEH000056,P038,YARD_DAL_01,2025-03-22,,63,5,58,22,1276,15,945,331,0.82,1,not_billable
STG000057,VEH000057,P039,YARD_OKC_01,2025-04-30,2025-06-09,40,0,40,19,760,9,360,400,0.96,1,collected
STG000058,VEH000058,P029,YARD_HOU_01,2025-01-27,,14,3,11,27,297,8,112,185,0.96,0,billable
STG000059,VEH000059,P006,YARD_HOU_01,2025-02-13,,39,5,34,32,1088,19,741,347,0.86,1,billable
STG000060,VEH000060,P037,YARD_HOU_01,2025-05-31,,32,3,29,22,638,11,352,286,0.77,0,waived
STG000061,VEH000061,P015,YARD_OKC_01,2025-06-11,,28,3,25,25,625,16,448,177,0.96,0,disputed
STG000062,VEH000062,P031,YARD_OKC_01,2025-07-13,,65,14,51,35,1785,18,1170,615,1.09,1,not_billable
STG000063,VEH000063,P013,YARD_DAL_01,2025-03-06,,67,0,67,28,1876,16,1072,804,0.79,1,billable
STG000064,VEH000064,P024,YARD_DAL_01,2025-05-20,2025-07-22,63,0,63,29,1827,16,1008,819,1.11,1,collected
STG000065,VEH000065,P028,YARD_OKC_01,2025-02-20,2025-04-24,63,0,63,33,2079,15,945,1134,0.75,1,collected
