scenario_id,quote_id,partner_id,vehicle_id,scenario_tow_price,scenario_daily_storage_rate,scenario_free_storage_days,scenario_total_partner_cost,scenario_expected_revenue,scenario_expected_cost,scenario_expected_margin,scenario_acceptance_probability,scenario_expected_value,meets_margin_threshold_flag,meets_acceptance_threshold_flag,recommended_flag,optimization_objective
SCN000001,QTE000001,P001,VEH000001,240,32,5,560,560,318,242,0.88,212.96,1,1,0,balanced_score
SCN000002,QTE000001,P001,VEH000001,250,34,5,590,590,318,272,0.85,231.20,1,1,1,balanced_score
SCN000003,QTE000001,P001,VEH000001,280,38,3,736,736,330,406,0.70,284.20,1,1,0,maximize_expected_margin
SCN000004,QTE000002,P002,VEH000002,290,25,5,1015,1015,652,363,0.61,221.43,1,1,0,balanced_score
SCN000005,QTE000002,P002,VEH000002,310,26,3,1116,1116,678,438,0.56,245.28,1,1,1,balanced_score
SCN000006,QTE000002,P002,VEH000002,360,32,0,1448,1448,730,718,0.37,265.66,1,0,0,maximize_expected_margin
SCN000007,QTE000003,P003,VEH000006,175,20,0,795,795,612,183,0.48,87.84,1,0,1,maximize_acceptance
SCN000008,QTE000003,P003,VEH000006,200,22,0,882,882,620,262,0.34,89.08,1,0,0,balanced_score
SCN000009,QTE000003,P003,VEH000006,240,25,0,1015,1015,640,375,0.21,78.75,1,0,0,maximize_expected_margin
SCN000010,QTE000004,P001,VEH000007,1050,32,5,1466,1466,1185,281,0.84,236.04,1,1,0,balanced_score
SCN000011,QTE000004,P001,VEH000007,1125,36,5,1593,1593,1195,398,0.80,318.40,1,1,1,maximize_expected_margin
SCN000012,QTE000004,P001,VEH000007,1250,40,3,1850,1850,1230,620,0.66,409.20,1,1,0,maximize_expected_margin
SCN000013,QTE000005,P002,VEH000005,420,24,5,1380,1380,920,460,0.52,239.20,1,1,0,balanced_score
SCN000014,QTE000005,P002,VEH000005,430,25,3,1480,1480,970,510,0.47,239.70,1,0,1,balanced_score
SCN000015,QTE000005,P002,VEH000005,500,30,0,1850,1850,1040,810,0.29,234.90,1,0,0,maximize_expected_margin
SCN000016,QTE000006,P003,VEH000003,165,19,0,906,906,650,256,0.52,133.12,1,1,0,maximize_acceptance
SCN000017,QTE000006,P003,VEH000003,175,20,0,955,955,665,290,0.48,139.20,1,0,1,maximize_acceptance
SCN000018,QTE000006,P003,VEH000003,220,24,0,1156,1156,710,446,0.27,120.42,1,0,0,maximize_expected_margin
